num_date_time,answer
1_20220825 00,2101.3141707959894
1_20220825 01,2083.5730715288346
1_20220825 02,1963.7991081525804
1_20220825 03,1946.5551847386857
1_20220825 04,1963.7410004725177
1_20220825 05,2018.1300557758361
1_20220825 06,2272.5536934015418
1_20220825 07,2615.2100192772104
1_20220825 08,2876.6215120074025
1_20220825 09,3300.3502194447155
1_20220825 10,4080.6623399285095
1_20220825 11,4230.919277365981
1_20220825 12,4338.732055826222
1_20220825 13,4309.4821565811935
1_20220825 14,4402.35286636832
1_20220825 15,4057.4353354501204
1_20220825 16,4119.783203951898
1_20220825 17,3576.3513151248444
1_20220825 18,2774.2610649650674
1_20220825 19,2483.5003784931637
1_20220825 20,2345.56728951736
1_20220825 21,2027.636968652892
1_20220825 22,1667.208353789846
1_20220825 23,2037.7279520380132
1_20220826 00,2194.760942350834
1_20220826 01,2158.1988678770294
1_20220826 02,2043.561943955183
1_20220826 03,1928.5578857527296
1_20220826 04,1867.8535157198576
1_20220826 05,2015.221676482456
1_20220826 06,2240.168013706884
1_20220826 07,2622.092435859033
1_20220826 08,2884.650284566818
1_20220826 09,3428.388207299322
1_20220826 10,4087.67666603268
1_20220826 11,4455.678926510655
1_20220826 12,4458.996450822554
1_20220826 13,4493.082106121377
1_20220826 14,4523.976562194287
1_20220826 15,4408.877464790594
1_20220826 16,4376.632083861399
1_20220826 17,3748.068998951988
1_20220826 18,2827.6911667181466
1_20220826 19,2641.389703530853
1_20220826 20,2377.6289297366948
1_20220826 21,2110.8010127204643
1_20220826 22,1626.612570148956
1_20220826 23,2044.8936693817882
1_20220827 00,2025.1540523792432
1_20220827 01,2006.9354755983743
1_20220827 02,1851.6497342408525
1_20220827 03,1794.8876302748492
1_20220827 04,1800.420617757059
1_20220827 05,1884.102113588854
1_20220827 06,2024.441379561937
1_20220827 07,2183.916474803604
1_20220827 08,2515.3565079767336
1_20220827 09,2896.9700738706915
1_20220827 10,3611.3363651628965
1_20220827 11,3856.1361419475816
1_20220827 12,3840.291804139111
1_20220827 13,3889.2770547153273
1_20220827 14,3843.9581995916997
1_20220827 15,3800.1071209437537
1_20220827 16,3783.741161161257
1_20220827 17,3461.255157583896
1_20220827 18,2597.603208781486
1_20220827 19,2272.383231834968
1_20220827 20,2054.62906306231
1_20220827 21,1894.138820109484
1_20220827 22,1479.1859955033067
1_20220827 23,1893.3955238569733
1_20220828 00,1656.7089810844732
1_20220828 01,1602.6556113973188
1_20220828 02,1474.9934210828733
1_20220828 03,1395.6747347514915
1_20220828 04,1422.3034122519339
1_20220828 05,1517.4235277187927
1_20220828 06,1617.9884554214027
1_20220828 07,1702.5371849564028
1_20220828 08,1892.1059959083789
1_20220828 09,2354.9837654717226
1_20220828 10,3129.696964145456
1_20220828 11,3238.501679914156
1_20220828 12,3348.581635384159
1_20220828 13,3367.740657001493
1_20220828 14,3359.203892671148
1_20220828 15,3308.4902078867854
1_20220828 16,3314.9417068695866
1_20220828 17,3311.834097993048
1_20220828 18,2759.21335889205
1_20220828 19,2349.9216861312198
1_20220828 20,2194.2095276794125
1_20220828 21,1946.7314673680764
1_20220828 22,1493.1918053080828
1_20220828 23,1912.1763192078988
1_20220829 00,2242.2829838014595
1_20220829 01,2172.464084296735
1_20220829 02,2061.877252798457
1_20220829 03,1980.5734879191725
1_20220829 04,2017.0998415367917
1_20220829 05,2222.42864950487
1_20220829 06,2447.995015340902
1_20220829 07,2630.643467584364
1_20220829 08,2755.00242403858
1_20220829 09,3053.7673234073836
1_20220829 10,3971.1039381935834
1_20220829 11,4180.42319127507
1_20220829 12,4099.329867003248
1_20220829 13,4245.6347831070025
1_20220829 14,4270.367021801211
1_20220829 15,4147.116712176339
1_20220829 16,4174.479656815719
1_20220829 17,3564.044936376568
1_20220829 18,2701.306263983918
1_20220829 19,2426.2799989707773
1_20220829 20,2257.4724415470337
1_20220829 21,1929.477381397648
1_20220829 22,1560.9821975311315
1_20220829 23,1963.1488089864242
1_20220830 00,2158.797345944839
1_20220830 01,2073.8001386143674
1_20220830 02,1928.5033663479308
1_20220830 03,1688.805068562247
1_20220830 04,1733.831852869948
1_20220830 05,1891.416367761529
1_20220830 06,2165.4744929270623
1_20220830 07,2589.36084619829
1_20220830 08,2833.8724026440077
1_20220830 09,3142.6784960427676
1_20220830 10,4071.6399493910008
1_20220830 11,4315.369254958201
1_20220830 12,4259.735469034595
1_20220830 13,4313.539131185323
1_20220830 14,4282.529041432439
1_20220830 15,4192.951465768964
1_20220830 16,4042.1547828736734
1_20220830 17,3663.8076924018633
1_20220830 18,2870.2400457939048
1_20220830 19,2430.6348891357516
1_20220830 20,2216.0185424535402
1_20220830 21,1819.1556739844486
1_20220830 22,1464.9363186420426
1_20220830 23,1861.4021192899515
1_20220831 00,1954.1753745148058
1_20220831 01,1880.4596001982152
1_20220831 02,1765.3541066945636
1_20220831 03,1728.0118397568492
1_20220831 04,1740.5071827405338
1_20220831 05,1892.2265626939075
1_20220831 06,2107.144021570958
1_20220831 07,2546.0356741492615
1_20220831 08,2737.448693146325
1_20220831 09,3056.010357288493
1_20220831 10,4148.915793256335
1_20220831 11,4293.821891429291
1_20220831 12,4293.974992672831
1_20220831 13,4302.548724139237
1_20220831 14,4289.00135402756
1_20220831 15,4161.0470136379545
1_20220831 16,4113.367662478925
1_20220831 17,3639.9987503845514
1_20220831 18,2859.909601266772
1_20220831 19,2466.0407570415314
1_20220831 20,2286.1907780309903
1_20220831 21,1910.1966627905588
1_20220831 22,1578.0853497434327
1_20220831 23,1957.5679893255965
2_20220825 00,1304.0033363100454
2_20220825 01,1301.494784234262
2_20220825 02,1295.4921481776494
2_20220825 03,1273.3435100229628
2_20220825 04,1301.3041824685658
2_20220825 05,1297.4088162962057
2_20220825 06,1330.8847397626
2_20220825 07,1282.7612464854521
2_20220825 08,1865.972296335529
2_20220825 09,2061.1766190264693
2_20220825 10,2216.809064773413
2_20220825 11,2183.418772265094
2_20220825 12,2297.7445399621542
2_20220825 13,2247.5962981440193
2_20220825 14,2278.6570917497884
2_20220825 15,2171.8663740692245
2_20220825 16,2225.629447863052
2_20220825 17,2175.391513366182
2_20220825 18,2174.8734989612103
2_20220825 19,1959.5905269944708
2_20220825 20,1811.363814963289
2_20220825 21,1594.0416669490683
2_20220825 22,1047.3936170500644
2_20220825 23,1334.9309761377062
2_20220826 00,1323.3438784857274
2_20220826 01,1327.4727816520003
2_20220826 02,1311.25062072375
2_20220826 03,1273.2394075852626
2_20220826 04,1281.1567933452986
2_20220826 05,1190.5982609867854
2_20220826 06,1185.0996893044141
2_20220826 07,1198.2178064506236
2_20220826 08,1919.1078982864774
2_20220826 09,2052.4813834820457
2_20220826 10,2156.801421757195
2_20220826 11,2204.935499653449
2_20220826 12,2141.6960677243233
2_20220826 13,2179.035062517226
2_20220826 14,2186.042941168955
2_20220826 15,2187.906715179292
2_20220826 16,2170.7011360441165
2_20220826 17,1991.904748295567
2_20220826 18,2040.7504160731146
2_20220826 19,1669.4556005667434
2_20220826 20,1711.611235953284
2_20220826 21,1491.050409455555
2_20220826 22,973.0245584104628
2_20220826 23,1283.3800566958816
2_20220827 00,1294.654054294022
2_20220827 01,1280.6286801386723
2_20220827 02,1310.801876077015
2_20220827 03,1297.1216500028727
2_20220827 04,1249.2920330240875
2_20220827 05,1040.735901481757
2_20220827 06,1091.529157212798
2_20220827 07,1015.1556721337356
2_20220827 08,1701.2644555630127
2_20220827 09,1999.610508342269
2_20220827 10,2143.6717296356364
2_20220827 11,2228.6314605205152
2_20220827 12,2221.4113420978842
2_20220827 13,2275.1598040488448
2_20220827 14,2261.30174896001
2_20220827 15,2285.43627824653
2_20220827 16,2287.040035456917
2_20220827 17,2133.3603025703733
2_20220827 18,2062.696844747709
2_20220827 19,1562.1431237864792
2_20220827 20,1412.4479096513282
2_20220827 21,1118.6012300381096
2_20220827 22,813.0109958467617
2_20220827 23,1138.7097813315572
2_20220828 00,1237.963354468212
2_20220828 01,1139.1874957972386
2_20220828 02,1203.6150940138934
2_20220828 03,1172.5241475244347
2_20220828 04,1107.8645192669358
2_20220828 05,928.2995002147097
2_20220828 06,920.8820200099497
2_20220828 07,855.4535408114848
2_20220828 08,1614.3470420816675
2_20220828 09,1898.1053848911065
2_20220828 10,2022.2020900284729
2_20220828 11,2061.392197035675
2_20220828 12,2148.2310481350205
2_20220828 13,2158.419448114785
2_20220828 14,2234.593246239239
2_20220828 15,2300.1530217516643
2_20220828 16,2184.483439146332
2_20220828 17,2025.859322562456
2_20220828 18,2000.3775526556217
2_20220828 19,1551.8483268904538
2_20220828 20,1177.6895335159154
2_20220828 21,1036.942151227299
2_20220828 22,790.6841324679176
2_20220828 23,1189.629443910799
2_20220829 00,1186.9016916682115
2_20220829 01,1179.4396335383983
2_20220829 02,1179.608430600963
2_20220829 03,1146.9614528436807
2_20220829 04,1177.710027048438
2_20220829 05,1118.7644726631254
2_20220829 06,1157.653988058769
2_20220829 07,1195.9491148808938
2_20220829 08,1533.594433924485
2_20220829 09,1488.229740372325
2_20220829 10,1685.9874110731535
2_20220829 11,1597.7802631195314
2_20220829 12,1457.222485794457
2_20220829 13,1639.308601786065
2_20220829 14,1491.9129918844048
2_20220829 15,1439.7092758202893
2_20220829 16,1476.2920152004074
2_20220829 17,1433.9264014992073
2_20220829 18,1378.1181495132273
2_20220829 19,1390.1127494284
2_20220829 20,1219.8047074002488
2_20220829 21,1033.658335380078
2_20220829 22,788.9108254926616
